NameTo,NameFrom,To,From,Migrants,PopulationTo,PopulationFrom,Distance
Aggl. Leiden en Bollenstreek ,Agglomeratie Haarlem ,25,21,460,387763,217606,20.43
Aggl. Leiden en Bollenstreek ,Zaanstreek ,25,22,52,387763,154974,36.36
Aggl. Leiden en Bollenstreek ,Groot-Amsterdam ,25,23,1137,387763,1184987,32.2
Aggl. Leiden en Bollenstreek ,Het Gooi en Vechtstreek ,25,24,120,387763,242397,44.61
Aggl. Leiden en Bollenstreek ,Aggl. Leiden en Bollenstreek ,25,25,0,387763,387763,0
Aggl. Leiden en Bollenstreek ,Agglomeratie 's-Gravenhage ,25,26,1655,387763,759778,16.91
Aggl. Leiden en Bollenstreek ,Delft en Westland ,25,27,267,387763,210980,29.37
Aggl. Leiden en Bollenstreek ,Oost-Zuid-Holland ,25,28,778,387763,322858,20.35
Aggl. Leiden en Bollenstreek ,Groot-Rijnmond ,25,29,684,387763,1359640,41.75
Aggl. Leiden en Bollenstreek ,Zuidoost-Zuid-Holland ,25,30,115,387763,398963,45.87
Aggl. Leiden en Bollenstreek ,Flevoland ,25,40,165,387763,351680,80.47
Agglomeratie 's-Gravenhage ,Utrecht ,26,17,1343,759778,1152218,57.37
Agglomeratie 's-Gravenhage ,Kop van Noord-Holland ,26,18,224,759778,361764,99.21
Agglomeratie 's-Gravenhage ,Alkmaar en omgeving ,26,19,139,759778,223936,69.78
Agglomeratie 's-Gravenhage ,IJmond ,26,20,102,759778,187456,51.36
Agglomeratie 's-Gravenhage ,Agglomeratie Haarlem ,26,21,262,759778,217606,37.17
Agglomeratie 's-Gravenhage ,Zaanstreek ,26,22,87,759778,154974,53.28
Agglomeratie 's-Gravenhage ,Groot-Amsterdam ,26,23,1565,759778,1184987,48.92
Agglomeratie 's-Gravenhage ,Het Gooi en Vechtstreek ,26,24,195,759778,242397,57.14
Agglomeratie 's-Gravenhage ,Aggl. Leiden en Bollenstreek ,26,25,1968,759778,387763,16.91
Agglomeratie 's-Gravenhage ,Agglomeratie 's-Gravenhage ,26,26,0,759778,759778,0
Agglomeratie 's-Gravenhage ,Delft en Westland ,26,27,3765,759778,210980,12.47
